section,table_name,column_name,data_type,is_nullable,column_default,constraint_type,related_table,related_column,rls_enabled
COLUMNS,activity_feed,metadata,jsonb,YES,'{}'::jsonb,null,null,null,null
COLUMNS,activity_feed,is_read,boolean,YES,false,null,null,null,null
COLUMNS,activity_feed,action_type,text,NO,null,null,null,null,null
COLUMNS,activity_feed,created_at,timestamp with time zone,NO,now(),null,null,null,null
COLUMNS,activity_feed,entity_type,text,NO,null,null,null,null,null
COLUMNS,activity_feed,user_id,uuid,NO,null,null,null,null,null
COLUMNS,activity_feed,entity_id,uuid,NO,null,null,null,null,null
COLUMNS,activity_feed,id,uuid,NO,uuid_generate_v4(),null,null,null,null
COLUMNS,admin_audit_logs,entity_type,text,NO,null,null,null,null,null
COLUMNS,admin_audit_logs,details,jsonb,YES,null,null,null,null,null
COLUMNS,admin_audit_logs,ip_address,text,YES,null,null,null,null,null
COLUMNS,admin_audit_logs,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null,null,null,null
COLUMNS,admin_audit_logs,action_type,text,NO,null,null,null,null,null
COLUMNS,admin_audit_logs,entity_id,text,YES,null,null,null,null,null
COLUMNS,admin_audit_logs,admin_id,uuid,NO,null,null,null,null,null
COLUMNS,admin_audit_logs,id,uuid,NO,uuid_generate_v4(),null,null,null,null
COLUMNS,album_packs,dj_id,uuid,YES,null,null,null,null,null
COLUMNS,album_packs,id,uuid,NO,gen_random_uuid(),null,null,null,null
COLUMNS,album_packs,expires_at,timestamp with time zone,YES,null,null,null,null,null
COLUMNS,album_packs,is_disabled,boolean,YES,false,null,null,null,null
COLUMNS,album_packs,processing_error,text,YES,null,null,null,null,null
COLUMNS,album_packs,processing_status,text,YES,'pending'::text,null,null,null,null
COLUMNS,album_packs,original_file_key,text,YES,null,null,null,null,null
COLUMNS,album_packs,upload_method,text,YES,'direct_zip'::text,null,null,null,null
COLUMNS,album_packs,cover_url,text,YES,null,null,null,null,null
COLUMNS,album_packs,cover_image_key,text,YES,null,null,null,null,null
COLUMNS,album_packs,is_fan_only,boolean,YES,false,null,null,null,null
COLUMNS,album_packs,file_key,text,NO,null,null,null,null,null
COLUMNS,album_packs,description,text,YES,null,null,null,null,null
COLUMNS,album_packs,title,text,NO,null,null,null,null,null
COLUMNS,album_packs,dj_profile_id,uuid,YES,null,null,null,null,null
COLUMNS,album_packs,created_at,timestamp with time zone,YES,now(),null,null,null,null
COLUMNS,album_packs,processing_started_at,timestamp with time zone,YES,null,null,null,null,null
COLUMNS,album_packs,processing_completed_at,timestamp with time zone,YES,null,null,null,null,null
COLUMNS,album_packs,track_count,integer,YES,0,null,null,null,null
COLUMNS,album_packs,total_duration,integer,YES,null,null,null,null,null
COLUMNS,album_packs,price,integer,NO,null,null,null,null,null
COLUMNS,album_packs,file_size,bigint,YES,null,null,null,null,null
COLUMNS,album_processing_queue,created_at,timestamp with time zone,NO,now(),null,null,null,null
COLUMNS,album_processing_queue,id,uuid,NO,uuid_generate_v4(),null,null,null,null
COLUMNS,album_processing_queue,error_message,text,YES,null,null,null,null,null
COLUMNS,album_processing_queue,started_at,timestamp with time zone,YES,null,null,null,null,null
